product_id,name,category,subcategory,cost,list_price,supplier
P0341,Everyday Storage Line,Home & Kitchen,Storage,49.1,79.49,SUP-027
P0342,Deluxe Snack Line,Grocery,Snacks,12.22,14.79,SUP-014
P0343,Compact Furniture Line,Office Supplies,Furniture,15.43,22.0,SUP-024
P0344,Eco Cosmetic Set,Beauty,Cosmetics,8.06,24.31,SUP-026
P0345,Eco Furniture Pack,Office Supplies,Furniture,40.57,55.08,SUP-003
P0346,Signature Printer Line,OFFICE SUPPLIES,Printers,20.77,32.63,SUP-021
P0347,Urban Household Edition,Grocery,Household,9.38,12.12,SUP-009
P0348,Everyday Small Appliance Edition,Home & Kitchen,Small Appliances,80.34,166.02,SUP-019
P0349,Pro Cosmetic Model,Beauty,Cosmetics,7.96,17.06,SUP-021
P0350,Classic Wearable Line,Electronics,Wearables,186.7,236.73,SUP-003
P0351,Ultra Cosmetic Set,Beauty,Cosmetics,4.82,19.16,SUP-008
P0352,Signature Bedding Pack,Home & Kitchen,Bedding,38.65,62.77,SUP-015
P0353,Premium Cycling Pack,Sports & Outdoors,Cycling,104.13,164.72,SUP-015
P0354,Everyday Team Sport Series,Sports & Outdoors,Team Sports,33.79,60.09,SUP-003
P0355,Everyday Womenswear Collection,Apparel,Womenswear,8.96,16.63,SUP-015
P0356,Premium Cycling Model,Sports & Outdoors,Cycling,122.24,163.96,SUP-006
P0357,Ultra Writing Kit,Office Supplies,Writing,13.33,19.31,SUP-013
P0358,Signature Writing Edition,Office Supplies,Writing,12.55,17.69,SUP-018
P0359,Pro Team Sport Line,Sports & Outdoors,Team Sports,52.26,77.24,SUP-019
P0360,Eco Skincare Collection,Beauty,Skincare,11.23,25.25,SUP-023
P0361,Ultra Coffee & Tea Edition,Grocery,Coffee & Tea,14.94,20.19,SUP-023
P0362,Urban Phone Kit,Electronics,Phones,141.8,157.83,SUP-009
P0363,Eco Audio Set,Electronics,Audio,331.39,410.28,SUP-030
P0364,Nordic Laptop Kit,Electronics,Laptops,375.94,472.5,SUP-026
P0365,Nordic Haircare Kit,Beauty,Haircare,19.13,50.17,SUP-025
P0366,Eco Menswear Line,Apparel,Menswear,28.33,73.3,SUP-030
P0367,Urban Printer Series,Office Supplies,Printers,39.13,56.99,SUP-010
P0368,Everyday Fragrance Model,Beauty,Fragrance,15.58,37.57,SUP-020
P0369,Compact Womenswear Line,Apparel,Womenswear,51.69,96.79,SUP-010
P0370,Pro Household Pack, Grocery ,Household,20.07,24.19,SUP-014
P0371,Ultra Paper Edition,Office Supplies,Paper,31.28,41.32,SUP-001
P0372,Eco Bedding Pack,Home & Kitchen,Bedding,34.93,57.63,SUP-009
P0373,Classic Footwear Set,Apparel,Footwear,32.14,61.63,SUP-001
P0374,Urban Menswear Edition,Apparel,Menswear,33.49,59.4,
P0375,Premium Storage Kit,Home & Kitchen,Storage,81.11,145.22,SUP-027
P0376,Classic Cookware Collection,Home & Kitchen,Cookware,40.56,70.01,SUP-017
P0377,Pro Household Edition,Grocery,Household,18.65,24.11,SUP-022
P0378,Deluxe Menswear Model,Apparel,Menswear,18.17,30.82,SUP-010
P0379,Premium Accessorie Kit,Apparel,Accessories,54.59,94.51,SUP-002
P0380,Compact Paper Collection,Office Supplies,Paper,22.67,33.15,SUP-014
P0381,Deluxe Cycling Model,Sports & Outdoors,Cycling,39.35,61.67,SUP-025
P0382,Essential Coffee & Tea Model,Grocery,Coffee & Tea,20.33,25.83,SUP-019
P0383,Ultra Furniture Model,Office Supplies,Furniture,26.18,36.12,SUP-014
P0384,Compact Fitnes Model,Sports & Outdoors,Fitness,58.09,81.29,
P0385,Ultra Womenswear Collection,Apparel,Womenswear,31.84,65.28,SUP-028
P0386,Nordic Household Kit,Grocery,Household,12.09,16.53,SUP-030
P0387,Urban Paper Set,Office Supplies,Paper,18.9,28.66,SUP-003
P0388,Urban Coffee & Tea Line,Grocery,Coffee & Tea,25.68,27.83,SUP-013
P0389,Everyday Wearable Kit,Electronics,Wearables,285.97,329.47,SUP-003
P0390,Essential Puzzle Kit,Toys & Games,Puzzles,7.13,14.48,SUP-016
P0391,Eco Fragrance Series,Beauty,Fragrance,10.71,22.27,SUP-012
P0392,Ultra Camera Model,Electronics,Cameras,141.0,175.32,SUP-029
P0393,Essential Fragrance Kit,Beauty,Fragrance,5.11,15.77,SUP-012
P0394,Urban Skincare Line,Beauty,Skincare,9.99,21.35,SUP-028
P0395,Eco Laptop Model,Electronics,Laptops,199.2,218.7,SUP-005
P0396,Pro Womenswear Collection,Apparel,Womenswear,18.97,35.48,SUP-003
P0397,Premium Outdoor Toy Model,Toys & Games,Outdoor Toys,19.23,35.27,SUP-011
P0398,Urban Menswear Series,Apparel,Menswear,29.69,54.83,SUP-014
P0399,Nordic Accessorie Collection,Apparel,Accessories,22.54,43.75,SUP-027
P0400,Premium Footwear Edition,Apparel,Footwear,21.77,44.05,SUP-021
